active,"src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java 240 Embedded Strings ""Online resource has no name "" String msg = ""Online resource has no name "" + onlineResource + "", using all layers""; String",src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java,240,8716,1,"""Online resource has no name ""","String msg = ""Online resource has no name "" + onlineResource + "", using all layers"";",0,String
active,"src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java 257 Embedded Strings ""Unable to find layer for online resource "" String msg = ""Unable to find layer for online resource "" + onlineResource; String",src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java,257,9687,1,"""Unable to find layer for online resource ""","String msg = ""Unable to find layer for online resource "" + onlineResource;",0,String
active,"src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java 269 Embedded Strings ""Exception creating layer for online resource "" String msg = ""Exception creating layer for online resource "" + onlineResource; String",src/gov/nasa/worldwindx/applications/eurogeoss/RecordPanel.java,269,10118,1,"""Exception creating layer for online resource ""","String msg = ""Exception creating layer for online resource "" + onlineResource;",0,String
active,"src/gov/nasa/worldwindx/applications/glider/GliderImageLayer.java 69 Embedded Strings ""Unnamed Layer"" return this.image != null ? this.image.getName() : ""Unnamed Layer""; String",src/gov/nasa/worldwindx/applications/glider/GliderImageLayer.java,69,2454,1,"""Unnamed Layer""","return this.image != null ? this.image.getName() : ""Unnamed Layer"";",1,String
active,"src/gov/nasa/worldwindx/applications/sar/AboutDialog.java 96 Embedded Strings ""Exception while displaying content dialog"" String message = ""Exception while displaying content dialog""; String",src/gov/nasa/worldwindx/applications/sar/AboutDialog.java,96,2632,1,"""Exception while displaying content dialog""","String message = ""Exception while displaying content dialog"";",1,String
active,"src/gov/nasa/worldwindx/applications/sar/AboutDialog.java 124 Embedded Strings ""Exception while fetching content"" String message = ""Exception while fetching content""; String",src/gov/nasa/worldwindx/applications/sar/AboutDialog.java,124,3531,1,"""Exception while fetching content""","String message = ""Exception while fetching content"";",1,String
T,"src/gov/nasa/worldwindx/applications/sar/AnalysisPanel.java 186 Embedded Strings ""Terrain Profile"" this.terrainProfileFrame = new JFrame(""Terrain Profile""); Method: JFrame",src/gov/nasa/worldwindx/applications/sar/AnalysisPanel.java,186,7890,1,"""Terrain Profile""","this.terrainProfileFrame = new JFrame(""Terrain Profile"");",1,Method: JFrame
T,"src/gov/nasa/worldwindx/applications/sar/AnalysisPanel.java 194 Embedded Strings ""Cloud Contour"" this.cloudCeilingFrame = new JFrame(""Cloud Contour""); Method: JFrame",src/gov/nasa/worldwindx/applications/sar/AnalysisPanel.java,194,8342,1,"""Cloud Contour""","this.cloudCeilingFrame = new JFrame(""Cloud Contour"");",1,Method: JFrame
T,"src/gov/nasa/worldwindx/applications/sar/BulkDownloadFrame.java 26 Embedded Strings ""Bulk Download"" this.setTitle(""Bulk Download""); Method: setTitle",src/gov/nasa/worldwindx/applications/sar/BulkDownloadFrame.java,26,732,1,"""Bulk Download""","this.setTitle(""Bulk Download"");",1,Method: setTitle
T,"src/gov/nasa/worldwindx/applications/sar/BulkDownloadFrame.java 38 Embedded Strings ""Cancel all active downloads?"" int choice = JOptionPane.showConfirmDialog(frameInstance, ""Cancel all active downloads?"", Method: showConfirmDialog",src/gov/nasa/worldwindx/applications/sar/BulkDownloadFrame.java,38,1266,1,"""Cancel all active downloads?""","int choice = JOptionPane.showConfirmDialog(frameInstance, ""Cancel all active downloads?"",",1,Method: showConfirmDialog
T,"src/gov/nasa/worldwindx/applications/sar/BulkDownloadFrame.java 39 Embedded Strings ""Active downloads"" ""Active downloads"", JOptionPane.OK_CANCEL_OPTION, JOptionPane.QUESTION_MESSAGE); Method: showConfirmDialog",src/gov/nasa/worldwindx/applications/sar/BulkDownloadFrame.java,39,1323,1,"""Active downloads""","""Active downloads"", JOptionPane.OK_CANCEL_OPTION, JOptionPane.QUESTION_MESSAGE);",1,Method: showConfirmDialog
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java 492 Embedded Strings ""color"" restorableSupport.addStateValueAsString(""color"", encodedColor); String",src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java,492,17612,1,"""color""","restorableSupport.addStateValueAsString(""color"", encodedColor);",3,String
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java 498 Embedded Strings ""positions"" RestorableSupport.StateObject positionsStateObj = restorableSupport.addStateObject(""positions""); String",src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java,498,17857,1,"""positions""","RestorableSupport.StateObject positionsStateObj = restorableSupport.addStateObject(""positions"");",3,String
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java 508 Embedded Strings ""position"" restorableSupport.addStateObject(positionsStateObj, ""position""); String",src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java,508,18459,1,"""position""","restorableSupport.addStateObject(positionsStateObj, ""position"");",3,String
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java 525 Embedded Strings ""radius"" restorableSupport.addStateValueAsDouble(""radius"", this.radius); String",src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java,525,19353,1,"""radius""","restorableSupport.addStateValueAsDouble(""radius"", this.radius);",3,String
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java 526 Embedded Strings ""enabled"" restorableSupport.addStateValueAsBoolean(""enabled"", this.enabled); String",src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java,526,19427,1,"""enabled""","restorableSupport.addStateValueAsBoolean(""enabled"", this.enabled);",3,String
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java 528 Embedded Strings ""pattern"" restorableSupport.addStateValueAsString(""pattern"", this.pattern); String",src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java,528,19584,1,"""pattern""","restorableSupport.addStateValueAsString(""pattern"", this.pattern);",3,String
active,"src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java 558 Embedded Strings ""positions"" RestorableSupport.StateObject positionsStateObj = restorableSupport.getStateObject(""positions""); String",src/gov/nasa/worldwindx/applications/sar/CloudCeiling.java,558,20766,1,"""positions""","RestorableSupport.StateObject positionsStateObj = restorableSupport.getStateObject(""positions"");",3,String
